id	text	count
243149846	任何 在 公开场合 倡导 九九 六  老板  都 应该 以 反革命 罪 论处  这 不是 开玩笑  也 不是 调侃  更 不是 气话  全世界 无产阶级 奋斗  一个多 世纪 争取  八小时 工作制 你 一个 吃 不 苦 就 否决  ？ 开 什么 玩笑 ？ 这种 黑心 老板 就 应该 被 举报  被 判刑  被 枪毙  毕竟 我们 好歹 也 号称 是 社会主义 国家 不是 ？	25
243893812	我 觉得  单独 看 这个 论调  它 是 对   不能 接受  当然 是 不能 吃苦  问题 是 ： 为什么 非 要 吃苦 ？ ？ ？ 咱是 来 上班   不是 来 上 集中营   咱是 来 工作   不是 来 军训   公司 提倡  应该 是 快乐 工作 快乐 生活  而 不是 吃苦  就算 真 吃苦 也 是 为 某个 崇高  理想  但 按照 知乎 标准  一 进来 就 谈 理想  怕 不是 什么 靠 谱  公司 吧 ？	22
243577737	在 国家 社会主义  天空 下 纳粹德国  年  工人 劳动 时间 是  个 小时 哦 对   在 奥斯维辛 三号 集中营  莫罗 维茨 集中营 里 囚犯  劳动 时间 就是 当天  日照时间  最长 是  个 半小时  包括 中午  小时 休息时间	20
243034486	工资 给够  我 能   关键 吃  苦要 有 回报 	20
243115415	大多数 人 不是 吃 不 苦  只是 不愿 吃哑巴亏  给 不起 加班费 还 没 补休  最后 还 来 个 职场 道德 绑架 ？ 滚 ！	26
247725928	大部分 被 要求   人  早 在 学生 时代 就 证明 过 自己    还是 重 来 高三  大概 都 不会 选 后者  在 升学  压力 下    生活 几近 奢侈  算不上 衡量 吃苦  标准  可 那时 吃苦  为是 将来  幸福  那时  将来  正是 现在  现在 却 在 没完没    某种意义 上  说  算是 忘记  初心  糟蹋  当年 吃 过  苦  不愿   不是 吃 不 苦  只是 不 容易 忽悠 罢 	29
243070995	现在  中国 已经 不是 过去  、 被 列强 包围  动不动 就要 被 斩草除根  中国   为啥 还要 吃苦 ？ 加班 工资 算 三倍   就是  个 小时   应该 给  +  *  =  小时  工资  大概 也就是说  你 看 微软 应届生 一年  万 （ 不算 股票 和 奖金 ）    地方 如果 不发  万  你 就 亏 （ 逃	27
243031036	没错   读书 不 就是 为 不 吃苦 么 ？ 为 吃苦 我 咋 不 去 种田 搬 砖  ？	20
621127219	该 清醒   不 搞 阶级斗争  行  ？ ！ 不行 ！ 资产阶级 就是 天天 搞 阶级斗争   人家 天天 搞 月 月 搞  不过 是 用 媒体工具 、 话术 和 传声筒 们 把 阶级 目 包装  起来  用 成功 学 、 人生 道理 、 心灵鸡汤 给 劳苦大众 催眠  不 讲 “ 为 谁 吃苦 努力 ”  空谈 “ 你 要 吃苦 ”  这 简直 就是 “ 马前卒 ”  ！ 坚决 打倒  ！	29
244059162	先 记下来  等 将来 劳动改造  时候 还 回去  当年 下放 个 农场 就 哼哼唧唧 个 没完  农民 可是 在 这里 劳动 一辈子  你们 自己 怎么 不 吃苦 	25
641360285	老板 ： “ 不 接受  就是 吃 不 苦 ！ ” 工人 ： “ 那 《 劳动法 》 规定  福利  休假 怎么 说 ？ ” 老板 ： “ 你  你 这 是 恶意 讨薪 ！ 你 这 是 斤斤计较 没有 大局观 ！ ” 工人 们 ： “   ” 一首 现代诗 《 如果 我们 不去 反抗 》 送给 各位 资本家 和 其 一切 走狗 ： 如果 我们 不去 反抗  敌人 用 刺刀 杀死  我们  还要 指着 我们  骨头 说 ： “ 看  这是 奴隶 ！ ”	28
243133776	以前 是 条件 有限  不吃 苦挣 不到 钱  过 不 日子  现在 不 吃苦 也 能 挣钱  能 享福 还 非要 吃苦  人  脑子 一定 有 问题 	28
245328632	奴隶主 高高地 举起 鞭子  每 抽出 一条 血痕  他们 就 大喊 一声 “ 挺住 ！ ！ ！ ” 呸 ！ ！ ！	21
243300323	不发 加班费 就是 舍不得 钱  抬杠 谁 不会 	28
448693962	我们 是 八到 十  一周 七  不 接受  就是 忠诚 不 绝对  你们 就是 个  而已  我们 有  人 是  *   有  人 是 白加 黑 五加 二 上中下 	28
641353874	如何 判断 这句 话  到底 还是 个 屁股 问题  例如 说 吧  上面 两位 满脸横肉  大 老板 说 这种 话  坏 是 透 心儿  坏  这 没得说  但 相比之下  下面 那位 穿着 工装  脸色 也 不见 多好  “ 劳工 代表 ” 就 可谓 是 — — 又 蠢 又 坏  换言之  每日 三省吾身  我姓 X  ？ 我能 姓 X  ？ 我 TM 配姓 X  ？	28
243101625	就是 吃 不 苦   平白无故 没事 我 为什么 要 吃苦  我 贱 ？	21
243218630	只要 给够 加班费  当牛做马 无所谓  其实 对于 大部分 人 来说  不是 接受 不   而是 接受 不 自己 时薪 被 腰斩   你 试试 加班费 给够   谁 都 能 吃得 苦 	24
242913813	T       * * *    u 	23
403752246	想不到 在 新 中国 居然 还有 这种 吃人不吐骨头  资本家 ！	23
243962934	我 觉得 承认 自己 吃 不 苦 没什么  因为 吃 不 苦  所以 我 才 要 时刻 提醒 自己 不要 沦落 到 要 靠 吃苦 工作 才能 生存  境地  不断 提升 自己  让 自己 能 有 更多更好  选择  追求 不用 吃苦  理想 工作 和 幸福生活  这有 什么 不 对  ？	29
243090583	“ 你 不 做  还有 大 把  人 等 着 做 ”  这是 公司   底气 除非 你 有 不可 替代性  否则 你 做 不 做  不 取决于 你 吃 不吃   苦  人家 压根 没为 你 着想	26
244670077	不太 清楚 长期      是 什么样  行业 ； 毕竟 开启      话 边际 产出 低  加班费 高 ； 除非 不得不 控制 人数 或者 临时 有 项目 才      一下	21
616823470	假如 公司 和 我 共享 经济 成果  这才 叫 吃苦  如果 我 拿 工资 不 给 加班费  那 叫 剥削 	25
244937439	吃 不 苦 不是 什么 好事  但 吃 不 太 极端  苦 也 不是 什么 丢脸  事  以前 做 并购  时候 熬 通宵 到 第  个 小时  时候 就 生不如死   所以 实事求是 一点 就 不怕 洗脑  	26
247808730	讲真  有些 人干 一上午 创造  价值 比 大多数 人干 一个 星期 都 多  所以 与其 讨论 这个  不如 讨论一下 创造 价值  能力 和 效率  表示 我 哪里 是   明明 是    我 找 谁 抱怨 去 ？ 谁 问 我 累不累 ？	21
244561043	还 记得 前段时间 下图 某大 v  言论 么 ？ 让 员工 加班  时候 谈 感情 谈 理想  付 加班费  时候 谈钱 谈 效益  一边 剥削 员工 一边 还 口口声声 剥削 你 是 为 你好  不 接受 剥削 就是 不 高尚 不 努力 酒囊饭袋  讲道理  上 世纪 初  资本主义 都 没 这么 无耻  虽然 估计 说  也 是 白 说  不过 还是 希望 某些 人 对 自己 为什么 能 坐  起 头等舱 住  起 花园别墅 心里 有点 B 数 	20
243074919	马克思主义 政治经济学 指出  扩大 再生产 有 两种 模式  增长 劳动 时间 与 增长 相对 劳动 时间  即 增加 总 工作 时间 或 在 工作 时间 不变 前提 下 通过 生产力 发展 增加 剩余劳动 时间 所 占 比例  就是 增加 绝对 剩余价值 与 相对 剩余价值  单纯 增加 绝对 剩余价值 易 引起 无产阶级 劳动者 不满  引发 劳动者  阶级斗争	27
645344999		25
251023293	曾经 我 在 做 博后  时候  想 找个 生物  医药 研发  工作  有 朋友 内 推  某 华人 女强人 给 我 开个                                                   这 可是 澳洲  一看 就是 专坑 同胞  黑 砖窑  因为 他们 知道 华人 怂  不敢 维权  但 生物 除 这个 地方 真是 没什么 工作 机会  还 不如 转码 农       于是 我 就 CS   Mr 走起 	24
243189746	按时 给 三倍 加班 工资  再 和 我 说 能 不能 吃苦  问题 	27
434801295	 工作制 是 一个 测试  测试  是 你 能 不能 为 服从 公司 制度 放弃 法律 赋予 你  权力  当然  这 只是 第一步  接下来 会 让 你 一点一点 放弃 更 多 权力  	25
