id	text	count
63610279	姑娘 有 两种 ， 有些 姑娘 离开 你 之后 ， 会 让 你 有 一种 奋发向上 等到 飞黄腾达 的 时候 再 让 她 对 你 另眼相看 以致 悔不当初 的 悲愤 或者说 理想 ； 而 有些 姑娘 ， 她 离开 你 的 时候 ， 你 就 知道 ， 无论 你 这辈子 再 怎么 成功 富贵 辉煌 伟大 ， 甚至 努力 改变 自己 ， 抑或 一如既往 ， 都 无法 再 吸引 到 她 当初 的 那 一点 目光 。               是 的 ， 第二种 才 是 好 姑娘 ， 但 同时 也 更让人 绝望 。	15931
62927879	你 还是 那么 渣 ， 可 我 已经 不 瞎 了 。	4955
63332093	来 一记 小 皮鞭 ， 让 那些 单方面 认为 前任 为 自己 后悔 而 自我感觉 良好 的 人 清醒 一下 。 另外 只想 说 ， 健身 、 变美 这些 好 的 改变 ， 更 多 的 是因为 专注 自我 所 进行 的 良好 生活习惯 的 养成 。 健身 营销 号 里 那些 “ 亮 瞎 前任 的 眼 ” 的 鸡血 口号 和 逆袭 故事 也许 能 激起 你 一时 的 斗志 ， 却 永远 无法 帮 你 成为 一个 能 从 内心 生 发出 骄傲 和 自信 的 人 。 一段 关系 的 结束 可能 有 千万种 「 输 」 ， 但 最输 的 莫过于 仍然 以 对方 的 反应 及 对 ta 的 期待 为 标准 对 自我 作 评价 。 努力 提升 自己 会 有 千万种 「 赢 」 ， 而 最 赢 的 应该 是 ， “ 我 自信 能 继续 保持 在 upgrade 的 状态 中 ， 因此 并不需要 向 任何人 证明 自己 有 多 好 。 ”	4998
63341238	_____ 微博 看到 的 ， 图侵 删	6238
63811340	和 EX 分手 后 ， 我 变得 前所未有 的 努力 。 我 有 一个 深深 的 信念 ， 得不到 你 想要 的 ， 就 会 得到 更好 的 。 然后 呢 ， 出人头地 ， 飞黄腾达 ， 踩 着 烧 红 了 的 云 ， 凌驾在 她 头顶 上 ， 好 让 她 后悔 。 不 ， 那 不是 我 的 剧本 ， 也 并非 我 的 初衷 。 其实 是因为 分手 后 很 难过 ， 再 怎么 克制 ， 也 还是 会 影响 到 情绪 ， 夸张 的 是 不停 梦到 她 ， 一次 又 一次 。 于是 我 命令 自己 ， 得 比 过去 更 努力 些 ， 我 不想 将来 某 天 想到 她 ， 标签 是 阻碍 了 我 进步 的 姑娘 。 我 希望 能 一天 比 一天 好 ， 然后 就 可以 给 自己 说 ： 你 看 ， 哪怕 分手 了 ， 她 带给 你 的 ， 还是 好 的 。 我 从未 想过 让 她 后悔 ， 我 希望 她 幸福快乐 ， 如 我 一样 。	5117
63191655	只有 当年 被 对方 提 分手 、 而 自己 当时 不想 分手 的 人 ， 才 会 有 “ 让 前任 后悔 ” 的 想法 ， 并 念念不忘 。 其实 ， 那些 会 后悔 并 找上门来 的 人 ， 他们 不过 是 伺机而动 的 商人 ， 看 你 行情 不够 好 的 时候 ， 就 立刻 脱手 抛出 ， 真的 很难 和 你 携手 一生 。 而 他们 之 所谓 会 “ 后悔 ” ， 并 不是 因为 你 的 外 在 变得 多么 好 ， 而是 他们 发现自己 没 能力 遇到 更好 的 人 罢了 。 所以 ， 努力 过得 好 ， 努力 找到 合适 的 另一半 ， 不是 为了 给 谁 看 ， 也 不是 为了 让 谁 后悔 ， 因为 那个 谁 根本 就 不在乎 自己 后悔 不 后悔 。 你 所 做 的 一切 ， 都 是 为了 让 自己 更 快乐 。	2464
62912661	谢邀 ， 有 的 。 我 和 某任 前女友 刚 分手 不久 就 赶上 了 猪肉 价格 暴涨 的 历史 时刻 。 顿时 我 身价倍增 ！ 她 拍 着 大腿 后悔 的 不得了 。	311
63574296	当 对方 已经 不 喜欢 你 的 时候 ， 你 怎么样 都 是 输 的 ， 哪有什么 后悔 可言 。 你 健身 、 换 发型 、 研究 搭配 、 学习 、 努力 工作 、 旅游 、 业余时间 安排 得 满满当当 的 。 你 在 社交 网络 上 po 自己 健身 后 的 身材 ， 美美 的 自拍 ， 旅游 ， 很 潇洒 快乐 的 样子 ， 发誓 要 让 前任 知道 ， 你 没 了 他 依然 可以 过得 很 好 ， 比 他 更好 。 但 那 又 有 什么 用 呢 ？ 那天 你 无意 中 碰到 他 ， 心想 ， 还好 精心 打扮 了 。 再 看 他 身边 挽着 的 女生 似乎 样样 都 不如 你 呢 。 但是 他 的 眼神 里面 有 她 。 你 早就 输 了 。 来 找 我 玩儿 呀 ～ B 站 搜 ： Carrie 就是 雨千	1096
63041016	我 抢 了 他 的 现 女友 对   我 和 他现 女友 现在 在 一起 了   我们 很 幸福	903
327771855	相信 我 ， 当 你 盛开 若夏花般 绚烂 ， 一众 王孙公子 拜倒 在 你 的 石榴裙 下 的 时候 ， 你 终于 等 来 了 他 那 一条 “ hi ” 的 短信 时 ， 你 只会 无比 失望 。 因为 他 当初 爱上你 的 时候 ， 你 也 就是 个 丑小鸭 ， 那 时候 的 爱情 ， 纯粹 ， 美好 ， 刻骨铭心 。 他 的 后悔 只会 向 你 证明 ： 这人 也 不过如此 。	82
