id	text	count
223187908	 路上车 超级 多 导致 行驶 缓慢 时候 每辆车 都 老老实实 说 呆 在 自己 行驶 线 里面 基本 不会 变道	786
222163812	 美国 忠诚 反对派 我们 这里 好像 这两项 都 稀缺	1295
587158723	 核弹 比 中国 多 相当于 每个 美国 人 都 一份 输掉 冷战 后 保险	31
266027744	 在 美国 学会 两句话 Don ' t judge It is not your business	75
222121148	 我 一个 朋友 儿子 在 美国 读 大学 有次 回来 说起 一件 事 美国 是 二十一岁 可以 饮酒 他 大三 生日 那天 收到 一封 来信 是 几个 家长 来信 这 几位 家长 子女 都 是 在 这 所 大学 就读 在 二十一岁 合法 饮酒 那天 喝酒 过量 出 事 这些 家长 成立 一个 组织 每个 学生 在 二十一岁 生日 早晨 都 会 收到 他们 温馨 提醒 用 他们 子女 血 教训 警示 这些 孩子 我 觉得 这种 人文 关怀 确实 是 我们 社会 所 欠缺	2223
29301038	 美国 给予 最 顶级 聪明人 培养 最好 给 他们 舞台 最大 这 就是 美国 最牛 逼 地方 任何 一个 民族 智力 最 顶级 最 顶级 一小撮 人 去 美国 混 的话 受到 教育 最好 毕业 后 挥洒 空间 最大 如果 你 是 一个 智力 万里 挑一 甚至 更强 中国 人 你 去 美国 比 留在 祖国 更 有利于 挖掘出 你 潜力 而且 更 高 几率 因为 科技 方面 能力 变富 即便 美国 无数 不如 中国 地方 （ 如 大城市 晚上 治安 不好 ） 只要 美国 能够 吸纳 全球 各国 最 聪明 人 往 他 那里 跑 那 美国 就 可以 牛气 充天 美国 就是 世界 各国 各 民族 理工科 天才 收割机 如果 要说 对 智力 平平的 人 培养 与 使用 美国 可能 不如 德语系 国家	821
221940398	 美国 喷子 敢 上街 中国 喷子 敢 上网 这么 一 对比 美国 喷子 还是 经历 太少 naive ！	98
222111905	 法律法规 改 少 国家 政策 不 大 调头	19
223110798	 有能 用 法律	92
222833560	 法制 信息 公开 对 各种 原因 造成 身体 弱势 人群 照顾 永远 不 缺乏 从 不同 角度 出发 分析 和 反对 意见 不 缺乏 对 多种 可能性 多种 道路 实践 实用主义 采取 其中 看起来 最 有效 方案 并且 对 错误 和 恶行 公开 承认 与 反思	58
