id	text	count
436514280	谢亚龙 案发后  米 卢说 过 ： 「 有 话 我 当时 不想 说  我带 中国队  时候  总是 有 领导 暗示 说 有  人 该 上  有  人 不该 上 … … 他们 觉得 自己 什么 都 懂  但 其实 什么 都 不 懂  事实证明 他们 是 错误   现在 我 在 快乐 地 旅游  他们 却 在 一个 铁窗  世界 里  」	26
27523867	小学 四年级 时写 过 叫做 《 以后 绝不 踢球 》  保证书 	20
434682740	湖南 某 幼儿园 举办  一次 足球赛  有个 班  小朋友 为 球赛 每天 练习  正式 比赛 时 几乎 每场 都 是 大胜 赢球  最后 赢得 决赛  然而 最后 主办方 却 宣布  冠军 是 一支 根本 没 进入 决赛  球队  只 因为 他们  网络 点赞数 最高  小朋友 们 都 非常 委屈  家长 也 愤怒 不解  面对 家长 们  质疑  主办方 表示  规则 就是 这样  这样 做 是 为 淡化 幼儿 足球  竞技性  希望 就算 不会 玩球  孩子 也 能 参与  可见一斑 	25
230488339	我 小学  时候 进过校 足球队  每天 都 盼 着 能 代表 学校 参加 市里  足球比赛  可 终于 有  比赛  却 发现  老师 找 来 许多 从 我们 学校 毕业  已经 上  初中  学生  让 他们 上场 踢 比赛  要 知道 在 那个 年龄段  年纪 差 一两岁  身体素质 相差 可是 很大   这下 我们 就 可以 轻松 获胜  吧  开 什么 玩笑 ？ 对方 也 不是 傻子 好  ？ 他们 上  当然 也 是 初中生  ！ ！ ！	29
27454322	四年级  时候 我爸 告诉 我   十二亿 人   凭 什么 你 是 那 十一 人中  一个   多年 之后 再 想 起来   只能 说 我 以后 会 去 捍卫 后代  理想	24
27330045	看到 没人发 这个  我 就 发 一下 吧   年前  东西   中国 足球  一个 英国人 说  实话 ！ ( 我 哭  ) _ 在线视频 观看	22
27326976	中国 足球 背负  很多 不 应该 足球 背负  东西 	23
419535035	 :     zu    v   千里马 常有  而 马棚 不 常有	22
27513503	初中 时候 学校 没 球场  常去 附近  医科大学 踢球  认识  一群 大学生 朋友  初中 时候 打市赛  淘汰赛 遇见  穿着 XX 中学 球衣  那群 大学生 朋友  然后 我们 就 被    对于 中国 足球  我们 都 太 想要 结果   却 刻意 地 省略  过程 	23
230956156	去年 西安 这边 高校 间 踢 比赛  类似 于 大学生 杯 之类  有 天 看到 新闻  西安 体育 学院  被 西安电子科技大学 踢  个  :     你 以为 是 理工 宅 男 看似 瘦弱  却 如梅 西内 马尔 阿扎尔 步般   带球 如 闲庭 散步   护球 如 大帝 附体 ？ ？ ？ ？ ？ 大错特错 ！ ！ ！ 我点 开 新闻  然后 往下拉  看到  照片                     SO 	25
27414439	因为 … 语文 老师 说 ： “ 下节 体育课 上 语文 ” 数学老师 说 ： “ 还有 一道 题 没 讲完 、 占 体育课 几分钟 ” 英语老师 说 ： “ 没 背会  体育课 给 我 留下来 背单词 ” 所以 … 中国 足球  后备军 们 在 体育课  上 一节课 就 激情 澎湃  期待 中 兴奋 充血  下 一秒 又 跌入 谷底  对 身体 多 不好   你们 说 是 吧	27
60186099	有 耻辱 心 就 能 踢 好 ？ 照 这个 逻辑  那 哪来  考差  学生 ？	22
27483110	中国 人 喜欢 足球  多半 都 是 喜欢 看 、 喜欢 评  而 不是 喜欢 去 踢 	28
77652637	伊拉克 那年 拿 亚洲 冠军  但 国家 被 美帝 干 出翔  意大利 拿 完世冠  经济 就 崩   希腊 那年 拿  欧洲杯  然后 就 破产  德国 拿 完 世界杯  难民潮 就 来   北宋 刚 发现 世界 巨星 高 俅  皇帝 就让 金国 抓   明白  吧 ？ 那么 多年 来  一直 忍辱负重  守护 国运  让 中国 稳定 发展  护国 法师 是 谁 ？ 大声 喊 出 四个 字 : 中国男足 ！	23
60575704	国际 主流 而 中国 不 主流  东西 一般 都 做 不好  足球 不过 是 耀眼 到 你 很 难看 不见  其中 之一 而已  另外  很多 时候 国 足 队员 踢 得 还 不错   只不过 踢 得 好  时候 看球  人 知道  踢 得 不好  时候 全国 人民 都 要 来 知道 罢	29
426335864	有 那么 难 就 问 一句 ： 你 能 不能 坚持 看国足 一年 一场 不胜 不嚷 着 换 教练 ？	22
53861577	就 一个 问题  如果 你  孩子 想 成为 职业 球员  你 会 支持 他 还是 劝 他 放弃 让 他 找 一份 稳当 踏实  工作 ？	27
